name,type,abv
Chivas Regal Royal Salute 38 Years,Scotch,
Chivas Regal Scotch,Scotch,
Chocolate Cream Liqueur,Liqueur,
Chocolate Liqueur,Liqueur,
Chopin Potato Vodka,Vodka,
Chopin Vodka,Vodka,
Chopin Wheat Vodka,Vodka,
Cimarron Blanco Tequila,Tequila,
Cimarron Reposado Tequila,Tequila,
Cincoro Anejo Tequila,Tequila,
Cincoro Blanco Tequila,Tequila,
Cincoro Extra Anejo Tequila,Tequila,
Cincoro Reposado Tequila,Tequila,
Cinnamon Flavored Moonshine,Whiskey,
Ciroc Apple Vodka,Vodka,
Ciroc Coconut Vodka,Vodka,
Ciroc French Vanilla Vodka,Vodka,
Ciroc Mango Flavored Vodka,Vodka,
Ciroc Mango Vodka,Vodka,
Ciroc Peach Vodka,Vodka,
Ciroc Pineapple Vodka,Vodka,
Ciroc Red Berry Vodka,Vodka,
Ciroc Regular Vodka,Vodka,
Ciroc Summer Citrus,Vodka,
Ciroc Summer Colada Flavored Vodka,Vodka,
Ciroc Summer Watermelon Vodka,Vodka,
Ciroc Vodka,Vodka,
Ciroc White Grape Vodka,Vodka,
Citadelle Gin,Gin,
Citadelle Reserve Oak Aged Gin,Gin,
Citrus Flavored Rum,Rum,
Citrus Flavored Vodka,Vodka,
Citrus Vodka,Vodka,
City of London Dry Gin,Gin,
Civic Vodka,Vodka,
Claddagh Distilling Company Irish Whiskey Cask No. 420,Whiskey,
Clairin Sajous,Rum,
Clairin Vaval,Rum,
Clairin Vaval Rhum Agricole,Rum,
Clase Azul Anejo Tequila,Tequila,
Clase Azul Reposado Tequila,Tequila,
Clear Creek Distillery McCarthy's Single Malt Whisky,Whisky,
Cleveland Black Reserve Bourbon Whiskey,Whiskey,
Cleveland Christmas Bourbon,Bourbon,
Cleveland Underground Bourbon Whiskey Finished with Apple Wood,Whiskey,
Cleveland Underground Sugar Maple Bourbon,Bourbon,
Cleveland Underground Uncommon Barrel Collection,Bourbon,
Clonakilty Minke Irish Gin,Gin,
Club Classic 12 Year Old Canadian Whisky,Whisky,
Clyde May's 11 Year Alabama Style Cask Strength Whiskey,Whiskey,
Clyde May's Alabama Style Whiskey,Whiskey,
Clyde May's Straight Bourbon Whiskey,Whiskey,
